Stock,Sector,Strategy,BuyPrice,SellPrice,Quantity,HoldingHours
TCS,IT,Intraday,3500,3700,10,2
INFY,IT,Swing,1400,1450,15,5
RELIANCE,Energy,Intraday,2500,2450,20,8
HDFC,Banking,Swing,1600,1700,10,3
ICICIBANK,Banking,Intraday,1100,1135,25,4
SBIN,Banking,Swing,820,860,30,12
WIPRO,IT,Intraday,520,540,40,2
HCLTECH,IT,Swing,1450,1520,12,24
LT,Infrastructure,Intraday,3600,3680,8,5
AXISBANK,Banking,Swing,1180,1240,18,10
MARUTI,Automobile,Intraday,12500,12750,5,3
TATAMOTORS,Automobile,Swing,980,1050,20,48
BAJFINANCE,Finance,Intraday,7000,7150,6,6
SUNPHARMA,Pharma,Swing,1700,1780,15,18
ADANIPORTS,Logistics,Intraday,1450,1500,10,7
ASIANPAINT,Consumer,Swing,2900,3050,8,36
BHARTIARTL,Telecom,Intraday,1850,1900,12,4
ITC,FMCG,Swing,450,485,50,72
NESTLEIND,FMCG,Intraday,2450,2520,10,5
ULTRACEMCO,Cement,Swing,11800,12250,4,30
